timestamp,text
0:01,today's computer problem at Cape canaval
0:03,was distressing perhaps but for most
0:05,Americans not totally surprising as a
0:08,society we've become used to computer
0:10,problems of one kind or another just as
0:12,we' become used to computers we're so
0:14,used to them in fact that few of us stop
0:16,to think of the extent to which they now
0:18,play a role in our everyday lives a role
0:21,that shows every sign of growing even
0:22,bigger we have two reports the first
0:25,from batina
0:26,Gregory you can't do the simplest things
0:29,today without a computer you can't cash
0:31,a personal check you can't even make a
0:33,phone call without linking into the
0:35,telephone company's computer and if you
0:37,go to the supermarket the chances are
0:39,good a computer will check out your
0:40,groceries mechanically assisted by a
0:43,human being in some areas computers have
0:46,replaced humankind in Washington the
0:49,subway system is run by computer true
0:51,motormen ride in the cabs but only as a
0:53,backup to this computerized service in
0:56,the airline industry computers will
0:58,reserve your seat on a plane and and
1:00,make no mistake when you take off it's
1:02,the computers who tell air traffic
1:03,controllers how to get you safely to
1:05,your destination computers have
1:07,revolutionize the personal credit card
1:09,industry credit card billing would be a
1:12,lot harder to do without the computer
1:14,and of course the computer provides the
1:16,inevitable excuse for mistakes in your
1:18,bills humans often feel like Don keot
1:21,tilting at windmills when it comes to
1:22,fighting the almighty computer miracles
1:25,of modern medical diagnosis are made
1:27,possible by computers and academic
1:30,research is more comprehensive computers
1:32,have had an enormous impact on
1:34,television journalism ABC News
1:36,researchers have millions of hours of
1:38,film and videotape right at their
1:40,fingertips film with an elephant there
1:42,are 223 entries in the ABC News Library
1:46,an elephant at a circus we have 20 such
1:49,entries but if you want an elephant with
1:51,a rider the computer says we have only
1:54,one such film it's a small computer that
1:57,puts the letters on your television
1:58,screen and another one that creat
2:00,special effects which were once too
2:02,expensive and time consuming to produce
2:04,before the age of the computer since
2:07,Wall Street started using computers
2:08,volume on the big board doubled and
2:10,redoubled to as much as 70 million
2:12,shares a day the government certainly
2:14,uses computers when you pay your taxes
2:16,IRS computers will audit the returns the
2:19,federal government also uses computers
2:21,to track down runaway husbands on
2:22,welfare and now the Reagan
2:24,Administration wants to cut down the
2:26,number of welfare Cheats by putting a
2:28,computer cross check on everyone who
